OurLabID,Sample ID,,Weight (mg),Delta 2H (‰),Ampl. (mV),% H,Comment run,Comment submission,VeizerSIL ID
G-26340,AT3-18-CC-06,,0.759,-132.29,6655,1.8,,0,B1819-547-054
G-26341,AT3-18-CC-07,,0.696,-122.92,6266,1.9,,Creek Chub,B1819-547-055
G-26342,AT3-18-CC-08,,0.677,-137.41,5751,1.8,,Creek Chub,B1819-547-056
G-26343,AT3-18-CC-09,,0.683,-137.92,6052,1.8,,Creek Chub,B1819-547-057
G-26344,AT3-18-CC-10,,0.679,-117.81,6117,1.9,,Creek Chub,B1819-547-058
G-26345,AT3-18-SC-01,,0.877,-175.32,7914,1.8,,Canada Goldenrod,B1819-547-059
G-26346,AT3-18-SC-02,,0.879,-178.85,7947,1.8,,Canada Goldenrod,B1819-547-060
G-26347,AT3-18-SC-03,,0.840,-178.64,7522,1.8,,Canada Goldenrod,B1819-547-061
G-26348,AT3-18-SC-03,,0.853,-175.97,7738,1.8,,0,B1819-547-062
G-26349,AT3-18-CATD-01,,0.733,-82.34,4544,1.3,,Caterpillar,B1819-547-063
G-26350,AT3-18-CATC-01,,0.667,-120.11,5932,1.8,,Caterpillar,B1819-547-064
G-26351,AT3-18-EGS-01,,1.003,-90.99,9320,1.8,,Snails (internal muscle),B1819-547-065
G-26352,AT3-18-DT-01,,0.779,-116.99,3712,1.0,,Detritus (conditioned leaves),B1819-547-066
G-26353,AT3-18-DT-02,,0.755,-122.56,4236,1.2,,Detritus (conditioned leaves),B1819-547-067
G-26354,AT3-18-DT-03,,0.727,-117.64,3732,1.1,,Detritus (conditioned leaves),B1819-547-068
G-26355,AT3-18-WBM-01,,0.963,-186.78,9110,1.9,,Waterboatmen (aquatic invertebrate),B1819-547-069
G-26356,AT3-18-WBM-02,,0.944,-189.92,8157,1.7,,Waterboatmen (aquatic invertebrate),B1819-547-070
G-26357,AT3-18-WBM-03,,1.043,-187.56,8822,1.7,,Waterboatmen (aquatic invertebrate),B1819-547-071
G-26358,AT3-18-WBM-03,,1.088,-185.02,9522,1.7,,0,B1819-547-072
G-26359,AT3-18-AL-01,,3.031,-173.22,6361,0.4,,Algae,B1819-547-073
G-26360,AT3-18-AL-02,,3.048,-180.50,9424,0.6,,Algae,B1819-547-074
G-26361,AT3-18-AL-03,,3.183,-173.74,7098,0.5,,Algae,B1819-547-075
